Town Code,Service District Code,Municipality,Millrate,Grand List Year,Fiscal Year,
124,0,Seymour,34.59,2014,2016,
59,6,"Groton, Old Mystic Fire",2.9,2014,2016,
122,0,Salisbury,10.7,2014,2016,
24,0,Chaplin,35.05,2014,2016,
611,0,Borough of Woodmont (Milford),,2014,2016,
93,0,New Haven,41.55,2014,2016,
100,2,North Canaan Fire District,2.2,2014,2016,
137,10,Stonington Latimer Point,,2014,2016,
100,0,North Canaan,27.5,2014,2016,
59,10,"Groton, Mumford Cove",0.309,2014,2016,
104,2,Norwich ,40.9,2014,2016,
153,0,Watertown,30.1,2014,2016,
49,4,"Enfield, No. Thompsonville Fire Dist. #4",3.15,2014,2016,
,,Woodstock - Lake Bunggee Tax Dist.,4.34,2014,2016,
128,0,Simsbury,37.12,2014,2016,
69,6,Killingly District 5 Orient Heights,0.68,2014,2016,
56,0,Granby,36.22,2014,2016,
116,1,Putnam - Special Service District,9.4,2014,2016,
57,0,Greenwich,11.271,2014,2016,
108,0,Oxford,24.96,2014,2016,
137,5,Stonington Wequetequock FD #379,0.75,2014,2016,
163,1,"Windham, Special Service Dist. #2",11.63,2014,2016,
52,0,Farmington,25.1,2014,2016,
25,0,Cheshire,30.69,2014,2016,
103,9,Norwalk 9th,,2014,2016,
105,0,Old Lyme,20.62,2014,2016,
18,0,Brookfield,25.7,2014,2016,
130,0,Southbury,28.4,2014,2016,
53,0,Franklin,24.72,2014,2016,
117,,Redding Georgetown FD,1.3222,2014,2016,
161,,Wilton - Georgetown FD,1.324,2014,2016,
14,0,Branford,26.93,2014,2016,
132,0,South Windsor,36.54,2014,2016,
135,1,"Stamford ""A""",25.43,2014,2016,
143,0,Torrington,45.75,2014,2016,
80,0,Meriden,36.63,2014,2016,
57,1,Greenwich - Sewer District,0.546,2014,2016,
156,0,"West Haven, West Shore (2d)",8.63,2014,2016,
103,6,Norwalk 6th - Rowayton,22.852,2014,2016,
135,2,"Stamford ""B""",24.89,2014,2016,
85,0,Monroe,34.35,2014,2016,
117,2,Redding Fire District Two,0.9022,2014,2016,
77,0,Manchester (Town),39.4,2014,2016,
34,0,Danbury,28.26,2014,2016,
49,3,"Enfield, Hazardville Fire Dist.#3",2.45,2014,2016,
113,0,Portland,32.34,2014,2016,
69,2,Killingly Dayville FD,2,2014,2016,
147,0,Voluntown,26.61,2014,2016,
145,0,Union,29.6,2014,2016,
72,0,Ledyard,30.4,2014,2016,
59,13,"Groton, Long Point Assoc., Inc.",2.995,2014,2016,
83,4,"Middletown, City Fire",7,2014,2016,
107,0,Orange,31.4,2014,2016,
8,0,Bethany,35.04,2014,2016,
137,2,Stonington Pawcatuck FD #264,1.6,2014,2016,
33,0,Cromwell,31.38,2014,2016,
60,0,Guilford,28.24,2014,2016,
103,10,Norwalk Motor Vehicle Rate,28.805,2014,2016,
166,0,Wolcott,28.08,2014,2016,
59,8,"Groton, Center Fire",3.5,2014,2016,
103,4,Norwalk 4th  - Sewered Main Area,25.43,2014,2016,
40,0,East Granby,30.4,2014,2016,
75,0,Lyme,17.75,2014,2016,
50,0,Essex,21.08,2014,2016,
81,0,Middlebury,30.12,2014,2016,
43,0,East Hartford,45.86,2014,2016,
19,0,Brooklyn,23.43,2014,2016,
156,1,"West Haven, First Center (FD 1)",9.1,2014,2016,
103,9,Norwalk 9th - No Garbage,,2014,2016,
156,0,"West Haven, Allingtown (Third)",9.44,2014,2016,
59,2,"Groton, City of Groton",5.868,2014,2016,
98,0,Norfolk,21.95,2014,2016,
604,0,Borough of Fenwick (Old Saybrook),3.04,2014,2016,
4,0,Avon,28.8,2014,2016,
120,0,Roxbury,13.7,2014,2016,
137,7,Stonington Lords Point Assoc.,2.03,2014,2016,
128,1,Simsbury - Fire District,1.19,2014,2016,
97,0,Newtown,33.07,2014,2016,
608,0,Borough of Newtown,0.85,2014,2016,
149,0,Warren,14.2,2014,2016,
59,3,"Groton, Poquonock Bridge Fire",6.05,2014,2016,
610,0,Borough of Stonington #372,2.7,2014,2016,
55,0,Goshen - Woodridge Lake Sewer District,4.3,2014,2016,
29,0,Colebrook,27.8,2014,2016,
22,0,Canterbury,21.65,2014,2016,
69,1,Killingly Attawaugan FD,3.1,2014,2016,
84,0,Milford,27.88,2014,2016,
94,0,Newington,35.8,2014,2016,
3,0,Ashford,32.962,2014,2016,
35,0,Darien,15.35,2014,2016,
607,0,Borough of Litchfield,1.4,2014,2016,
164,2,"Windsor, Windsor Fire District",1.75,2014,2016,
11,0,Bloomfield,36,2014,2016,
126,0,Shelton,22.31,2014,2016,
11,1,"Bloomfield, Center FD",0.95,2014,2016,
103,8,Norwalk 8th,,2014,2016,
163,0,Windham,34.35,2014,2016,
109,1,Plainfield FD # 255,1.45,2014,2016,
164,0,Windsor,30.92,2014,2016,
103,1,Norwalk 1st No Garbage,24.651,2014,2016,
54,0,Glastonbury,36.1,2014,2016,
78,0,Mansfield,29.87,2014,2016,
152,0,Waterford,25.83,2014,2016,
101,0,North Haven,29.42,2014,2016,
115,0,Prospect,29.23,2014,2016,
157,0,Weston,28.67,2014,2016,
59,9,"Groton, W. Pleasant Valley Fire",3.76,2014,2016,
146,0,Vernon,36.91,2014,2016,
96,1,New Milford Fire Association,0.63,2014,2016,
37,0,Derby,35.74,2014,2016,
103,2,Norwalk 2nd  - South,25.371,2014,2016,
9,0,Bethel,32.18,2014,2016,
137,1,Stonington Mystic FD #239,1.82,2014,2016,
21,0,Canaan,23.5,2014,2016,
10,0,Bethlehem,22.96,2014,2016,
77,3,Manchester 8th Buckland Section Fire,2.09,2014,2016,
110,0,Plainville,31.83,2014,2016,
165,0,Windsor Locks,26.79,2014,2016,
104,1,"Norwich, City of  (Paid Fire) (CCD)",48.06,2014,2016,
104,0,Norwich City (Vol Fire)(Town)(TCD),41.39,2014,2016,
102,0,North Stonington,26.1,2014,2016,
68,0,Kent,17.86,2014,2016,
127,0,Sherman,20.04,2014,2016,
69,0,Killingly,27.31,2014,2016,
2,0,Ansonia,37.52,2014,2016,
26,0,Chester,25.32,2014,2016,
162,0,Winchester,32.7,2014,2016,
5,1,Barkhamsted Fire District,1.66,2014,2016,
150,0,Washington,13.75,2014,2016,
135,0,Stamford Motor Vehicles,27.25,2014,2016,
114,0,Preston,23,2014,2016,
59,5,"Groton, Noank Fire",1.39,2014,2016,
154,0,Westbrook,22.51,2014,2016,
69,7,Killingly Williamsville FD,2.45,2014,2016,
92,4,New Hartford South End FD #4,0.5,2014,2016,
49,0,Enfield,29.89,2014,2016,
117,0,Redding,28.91,2014,2016,
137,3,Stonington Quiambaug FD #378,0.95,2014,2016,
19,,Brooklyn - East Brooklyn FD,1.75,2014,2016,
92,3,New Hartford Pine Meadow FD #3,2,2014,2016,
164,1,"Windsor, Wilson Fire District",2.8,2014,2016,
33,1,Cromwell Fire District,2.25,2014,2016,
92,0,New Hartford,29.044,2014,2016,
64,0,Hartford,74.29,2014,2016,
27,0,Clinton,26.77,2014,2016,
118,0,Ridgefield,26.01,2014,2016,
144,1,Trumbull Long Hill FD,0.6,2014,2016,
46,0,Easton,30.38,2014,2016,
159,0,Wethersfield,38.19,2014,2016,
7,2,Berlin -Worthington FD,2,2014,2016,
112,0,Pomfret,24.24,2014,2016,
148,0,Wallingford,27.47,2014,2016,
603,0,Borough of Danielson (Killingly),4.3,2014,2016,
58,0,Griswold,26.57,2014,2016,
15,0,Bridgeport,42.198,2014,2016,
144,0,Trumbull,32.87,2014,2016,
139,0,Suffield,27.78,2014,2016,
158,0,Westport,18.09,2014,2016,
93,1,New Haven+Town Green (FKA Downtown) ,1.99,2014,2016,
38,0,Durham,33.74,2014,2016,
142,0,Tolland,33.36,2014,2016,
157,,Weston - Georgetown FD,1.4346,2014,2016,
51,0,Fairfield,24.79,2014,2016,
66,0,Harwinton,27.3,2014,2016,
20,0,Burlington,31.1,2014,2016,
77,4,Manchester Eighth District Base,34.68,2014,2016,
82,0,Middlefield,33.67,2014,2016,
63,0,Hampton,30.51,2014,2016,
76,0,Madison,25.76,2014,2016,
80,1,Meriden Second,38.77,2014,2016,
123,0,Scotland,35.75,2014,2016,
129,0,Somers,23.37,2014,2016,
59,1,Groton Sewer District,0.25,2014,2016,
99,0,North Branford,31.08,2014,2016,
89,0,New Britain,49,2014,2016,
17,0,Bristol,34.61,2014,2016,
6,0,Beacon Falls,33.4,2014,2016,
103,5,Norwalk 5th - No Garbage Main Area,24.71,2014,2016,
144,3,Trumbull Nichols FD,,2014,2016,
137,6,Stonington Old Mystic FD #366,2.9,2014,2016,
112,2,Pomfret Fire District,1,2014,2016,
70,0,Killingworth,25.23,2014,2016,
151,0,Waterbury,58.22,2014,2016,
135,4,"Stamford ""CS""",24.61,2014,2016,
47,0,East Windsor,30.31,2014,2016,
95,0,New London,39.49,2014,2016,
1,0,Andover,30.72,2014,2016,
69,4,"Killingly, E. Killiingly FD",2.06,2014,2016,
137,9,Stonington Wamphassuk Point Assoc.,0.447,2014,2016,
69,5,Killingly So. Killingly FD,1.4,2014,2016,
103,1,Norwalk 1st  - Downtown,25.371,2014,2016,
109,4,Plainfield Wauregan F.D.,2.3,2014,2016,
95,1,New London - City Center District ,1.33,2014,2016,
103,7,Norwalk 7th,,2014,2016,
83,2,"Middletown, South Fire",4.468,2014,2016,
7,1,Berlin - Kensington FD,1.1,2014,2016,
156,0,West Haven,31.25,2014,2016,
103,3,Norwalk 3rd No Garbage,24.651,2014,2016,
7,0,Berlin,30.35,2014,2016,
111,0,Plymouth,35.43,2014,2016,
133,0,Sprague,31,2014,2016,
134,0,Stafford,33.37,2014,2016,
109,2,Plainfield Moosup F.D.,1.8,2014,2016,
90,1,New Canaan Sewer,0.577,2014,2016,
62,0,Hamden,40.87,2014,2016,
16,0,Bridgewater,17.25,2014,2016,
109,3,Plainfield Central Village F.D.,2.875,2014,2016,
116,3,Putnam East Putnam District,1.5,2014,2016,
167,0,Woodbridge,37.66,2014,2016,
169,0,Woodstock,23.36,2014,2016,
39,0,Eastford,25.11,2014,2016,
49,2,"Enfield, Thompsonville Fire Dist. #2",8.34,2014,2016,
65,0,Hartland,25.5,2014,2016,
5,0,Barkhamsted,27.72,2014,2016,
12,0,Bolton,36.77,2014,2016,
88,0,Naugatuck,,2014,2016,
136,1,"Sterling, Fire District",1.7,2014,2016,
11,2,"Bloomfield, Blue Hills FD",2.5,2014,2016,
90,0,New Canaan,15.985,2014,2016,
135,3,"Stamford ""C""",24.14,2014,2016,
83,3,"Middletown, Westfield Fire",1.416,2014,2016,
141,0,Thompson,24.8,2014,2016,
103,2,Norwalk 2nd No Garbage,24.651,2014,2016,
137,8,Stonington Mason's Island,1.63,2014,2016,
42,0,East Hampton,27.78,2014,2016,
125,0,Sharon,13.7,2014,2016,
73,0,Lisbon,19.5,2014,2016,
49,1,Enfield Fire District #1,3.35,2014,2016,
83,0,Middletown,32.6,2014,2016,
69,3,Killingly Dyer Manor,0.5,2014,2016,
61,0,Haddam,31.2,2014,2016,
106,0,Old Saybrook,18.81,2014,2016,
163,2,Windham 1st Taxing District,1.86,2014,2016,
135,5,Stamford Pprop Other than MV,25.43,2014,2016,
55,0,Goshen,19.1,2014,2016,
121,0,Salem,31.7,2014,2016,
138,0,Stratford,36.98,2014,2016,
31,0,Cornwall,15.13,2014,2016,
30,0,Columbia,27.13,2014,2016,
116,0,Putnam,16.42,2014,2016,
93,2,New Haven + Chapel West,2.5,2014,2016,
48,0,Ellington,30.5,2014,2016,
41,0,East Haddam,28.68,2014,2016,
44,0,East Haven,31.55,2014,2016,
119,0,Rocky Hill,29.7,2014,2016,
103,4,Norwalk 4th No Garbage,24.71,2014,2016,
91,0,New Fairfield,28.53,2014,2016,
155,0,West Hartford,38.31,2014,2016,
59,4,"Groton, Mystic Fire",2.29,2014,2016,
96,0,New Milford,26.75,2014,2016,
93,5,New Haven + Grand Ave GAVA,1.25,2014,2016,
92,1,New Hartford Village FD #1,1.1,2014,2016,
103,3,Norwalk 3rd  - East,25.371,2014,2016,
67,0,Hebron,36,2014,2016,
144,2,Trumbull Center FD,,2014,2016,
87,,Morris - Deer Island Assoc.,3.25,2014,2016,
161,0,Wilton,26.8302,2014,2016,
137,4,Stonington FD #265,0.7,2014,2016,
109,0,Plainfield,28.36,2014,2016,
89,1,New Britain - Downtown,4.2,2014,2016,
136,0,Sterling,31.6,2014,2016,
160,0,Willington,27.34,2014,2016,
77,1,Manchester - Special,45.2,2014,2016,
13,0,Bozrah,27,2014,2016,
28,0,Colchester,30.76,2014,2016,
45,0,East Lyme,24.71,2014,2016,
