Town Code,Service District Code,Municipality,Millrate,Grand List Year,Fiscal Year,
134,1,"Stafford, Special Service District",2.24,2014,2016,
103,8,Norwalk 8th - No Garbage,,2014,2016,
86,0,Montville,30.09,2014,2016,
137,0,Stonington,21.32,2014,2016,
32,0,Coventry,31.2,2014,2016,
168,0,Woodbury,26.07,2014,2016,
93,4,New Haven + Whalley Ave. WASS,1.87,2014,2016,
606,0,Borough of Jewett City (Griswold),3.99,2014,2016,
140,0,Thomaston,33.63,2014,2016,
36,0,Deep River,26.28,2014,2016,
77,2,Manchester 8th Fire + Sewer,4.18,2014,2016,
117,1,Redding Fire District One,0.7846,2014,2016,
87,0,Morris,25.92,2014,2016,
601,0,Borough of Bantam (Litchfield),1.5,2014,2016,
59,0,"Groton, Town of ",20.95,2014,2016,
74,0,Litchfield,26.2,2014,2016,
23,0,Canton,29.19,2014,2016,
79,0,Marlborough,32.89,2014,2016,
71,0,Lebanon,28.7,2014,2016,
49,5,"Enfield, Shaker Pines Fire Dist. #5",2.3,2014,2016,
131,0,Southington,29.14,2014,2016,
116,2,Putnam West Putnam District,1,2014,2016,
