93,4,New Haven + Whalley Ave. WASS,1.97,,
93,5,New Haven + Grand Ave GAVA,1.25,,
94,0,Newington,38.5,,
95,0,New London,43.62,,43.17
95,1,New London - City Center District,1.4,,
96,0,New Milford,28.17,,
96,1,New Milford Fire Association,0.55,,
97,0,Newtown,34.24,,
98,0,Norfolk,23.57,,
99,0,North Branford,33.39,,
100,0,North Canaan,27.5,,
100,1,North Canaan + Fire District,29.6,,
100,2,North Canaan Fire District,2.1,,
101,0,North Haven,31.18,,
102,0,North Stonington,28.2,,
103,1,Norwalk 1st  - Downtown,26.605,,
103,2,Norwalk 2nd  - South,26.605,,
103,3,Norwalk 3rd  - East,26.605,,
103,4,Norwalk 4th  - Sewered Main Area,26.662,,
103,5,Norwalk 5th - No Garbage Main Area,25.93,,
103,6,Norwalk 6th - Rowayton,21.194,,
103,10,Norwalk Motor Vehicle Rate,,,30.499
103,1,Norwalk 1st No Garbage,25.873,,
103,2,Norwalk 2nd No Garbage,25.873,,
103,3,Norwalk 3rd No Garbage,25.873,,
103,4,Norwalk 4th No Garbage,25.93,,
104,0,Norwich City (Vol Fire)(Town)(TCD),41.46,,
104,1,"Norwich, City of  (Paid Fire) (CCD)",,48.39,45
104,2,Norwich,41.01,,
105,0,Old Lyme,21.91,,
106,0,Old Saybrook,19.6,,
106,3,Old Saybrook - Knollwood Beach Assoc.,1,,
107,0,Orange,32,,
108,0,Oxford,23.05,,
109,0,Plainfield,27.96,,
109,1,Plainfield FD # 255,1.7,,
109,2,Plainfield Moosup FD,2.1,,
109,3,Plainfield Central Village F.D.,2.95,,
109,4,Plainfield Wauregan F.D.,2.3,,
110,0,Plainville,33.84,,
111,0,Plymouth,39.69,,
112,0,Pomfret,25.9,,
112,1,Pomfret + Fire District,26.9,,
112,2,Pomfret Fire District,1,,
113,0,Portland,33.81,,
114,0,Preston,26.03,,
115,0,Prospect,31,,
116,0,Putnam,20.84,,
116,1,Putnam - Special Service Dist.,9.6,,
116,2,Putnam West Putnam District,1,,
116,3,Putnam East Putnam District,1.8,,
117,0,Redding,31.72,,
117,1,Redding Fire District 1,0.84769,,
117,2,Redding Fire District 2,0.8744,,
117,3,Redding Georgetown FD,1.6556,,
118,0,Ridgefield,27.78,,
119,0,Rocky Hill,32.4,,
120,0,Roxbury,15.85,,
121,0,Salem,32.2,,
122,0,Salisbury,11.3,,
123,0,Scotland,,39.43,32.75
124,0,Seymour,36,,
125,0,Sharon,14.7,,
126,0,Shelton,22.15,,
127,0,Sherman,20.33,,
127,1,Sherman - Candlewood Tax District,4.35,,
128,0,Simsbury,36.42,,
128,1,Simsbury - Fire District,1.17,,
128,2,Simsbury + Fire District,37.59,,
129,0,Somers,27.37,,
130,0,Southbury,29,,
131,0,Southington,30.48,,
132,0,South Windsor,37.67,,
133,0,Sprague,33.25,,
134,0,Stafford,34.26,,
134,1,"Stafford, Special Service District",2.28,,
135,0,Stamford Motor Vehicles,,,27.25
135,1,"Stamford ""A""",,25.53,
135,2,"Stamford ""B""",,25.08,
135,3,"Stamford ""C""",,24.45,
135,4,"Stamford ""CS""",,24.82,
135,5,Stamford Pprop Other than MV,,25.53,
136,0,Sterling,31.94,,
136,1,"Sterling, Fire District",2,,
137,0,Stonington,22.68,,
137,1,Stonington Mystic FD #239,1.76,,
137,2,Stonington Pawcatuck FD #264,0.00158,,
137,3,Stonington Quiambaug FD #378,1.15,,
137,4,Stonington FD #265,0.65,,
137,5,Stonington Wequetequock FD #379,0.83,,
137,6,Stonington Old Mystic FD #366,2.9,,
137,7,Stonington Lords Point Assoc.,2.29,,
137,8,Stonington Mason's Island,1.63,,
137,9,Stonington Wamphassuk Point Assoc. - Fire District,0.484,,
137,10,Stonington Latimer Point,2.31,,
138,0,Stratford,39.9,,
139,0,Suffield,29.32,,
140,0,Thomaston,35.79,,
141,0,Thompson,27.75,,
142,0,Tolland,35,,
143,0,Torrington,,46.17,45
144,0,Trumbull,34.02,,
144,1,Trumbull Long Hill FD,0.846,,
144,2,Trumbull Center FD,0.945,,
144,3,Trumbull Nichols FD,1.15,,
145,0,Union,31.1,,
146,0,Vernon,39.63,,
147,0,Voluntown,28.92,,
148,0,Wallingford,28.64,,
149,0,Warren,14.25,,
150,0,Washington,14.25,,
151,0,Waterbury,,60.21,45
152,0,Waterford,27.42,,
153,0,Watertown,33.59,,
154,0,Westbrook,24.37,,
155,0,West Hartford,41,,
156,0,West Haven,,36.26,37
156,1,"West Haven, First Center only",,11.99,8
156,0,"West Haven, West Shore (2d) only",,10.129,8
156,0,"West Haven, Allingtown (Third) only",,13.06,8
157,0,Weston,29.39,,
157,1,Weston - Georgetown FD,1.7295,,
158,0,Westport,16.86,,
159,0,Wethersfield,40.78,,
160,0,Willington,30.09,,
161,0,Wilton,28.1875,,
161,,Wilton - Georgetown FD,1.5885,,
162,0,Winchester,33.54,,
163,0,Windham,37.51,,
