Code,Service District Code,Municipality,FY 2017 Mill Rate,FY 2017 Mill Rate - Real & Personal Property                  (PA 16-3 S.189 May SS),FY 2017 Mill Rate - Motor Vehicle          (PA 16-3 S.189 May SS)
103,1,Norwalk 1st No Garbage,24.735,,
103,2,Norwalk 2nd No Garbage,24.735,,
103,3,Norwalk 3rd No Garbage,24.735,,
103,4,Norwalk 4th No Garbage,24.795,,
104,0,Norwich City (Vol Fire)(Town)(TCD),,41.69,
104,1,"Norwich, City of  (Paid Fire) (CCD)",,49.06,
104,2,Norwich ,,41.22,37
105,0,Old Lyme,21.2,,
106,0,Old Saybrook,19.26,,
106,3,Old Saybrook - Knollwood Beach Assoc.,1.03,,
107,0,Orange,,32.2,32
108,0,Oxford,24.21,,
109,0,Plainfield,29.05,,
109,1,Plainfield FD # 255,1.45,,
109,2,Plainfield Moosup FD,1.9,,
109,3,Plainfield Central Village F.D.,3,,
109,4,Plainfield Wauregan F.D.,2.3,,
110,0,Plainville,31.99,,
111,0,Plymouth,36.02,,
112,0,Pomfret,25.43,,
112,1,Pomfret + Fire District,26.43,,
112,2,Pomfret Fire District,1,,
113,0,Portland,32.51,,
114,0,Preston,23.75,,
115,0,Prospect,29.91,,
116,0,Putnam,17.04,,
116,1,Putnam - Special Service Dist.,9.4,,
116,2,Putnam West Putnam District,1,,
116,3,Putnam East Putnam District,1.7,,
117,0,Redding,29.24,,
117,1,Redding Fire District 1,,,
117,2,Redding Fire District 2,,,
117,3,Redding Georgetown FD,1.5853,,
118,0,Ridgefield,26.69,,
119,0,Rocky Hill,31,,
120,0,Roxbury,13.7,,
121,0,Salem,31.7,,
122,0,Salisbury,10.7,,
123,0,Scotland,,38.68,37
124,0,Seymour,36,,
125,0,Sharon,14.4,,
126,0,Shelton,22.31,,
127,0,Sherman,20.33,,
128,0,Simsbury,,37.12,36
128,1,Simsbury - Fire District,,1.23,1
128,2,Simsbury + Fire District,,38.35,37
129,0,Somers,24.22,,
130,0,Southbury,28.8,,
131,0,Southington,29.64,,
132,0,South Windsor,,37.34,37
133,0,Sprague,31.5,,
134,0,Stafford,33.51,,
134,1,"Stafford, Special Service District",2.26,,
135,0,Stamford Motor Vehicles,27.25,,
135,1,"Stamford ""A""",26.12,,
135,2,"Stamford ""B""",25.59,,
135,3,"Stamford ""C""",24.82,,
135,4,"Stamford ""CS""",25.27,,
135,5,Stamford Pprop Other than MV,26.12,,
136,0,Sterling,31.6,,
136,1,"Sterling, Fire District",1.7,,
137,0,Stonington,22.31,,
137,1,Stonington Mystic FD #239,1.84,,
137,2,Stonington Pawcatuck FD #264,1.64,,
137,3,Stonington Quiambaug FD #378,1.05,,
137,4,Stonington FD #265,0.7,,
137,5,Stonington Wequetequock FD #379,,,
137,6,Stonington Old Mystic FD #366,2.95,,
137,7,Stonington Lords Point Assoc.,2.03,,
137,8,Stonington Mason's Island,1.63,,
137,9,Stonington Wamphassuk Point Assoc. - Fire District,0.44,,
137,10,Stonington Latimer Point,2.21,,
138,0,Stratford,,38.99,37
139,0,Suffield,28.2,,
140,0,Thomaston,34.07,,
141,0,Thompson,26.06,,
142,0,Tolland,34.19,,
143,0,Torrington,,45.75,37
144,0,Trumbull,32.74,,
144,1,Trumbull Long Hill FD,0.6,,
