Town Code,Service District Code,Municipality,Millrate,Grand List Year,Fiscal Year,
41,0,East Haddam,27.9,2013,2015,
42,0,East Hampton,27.14,2013,2015,
43,0,East Hartford,45.4,2013,2015,
44,0,East Haven,32.05,2013,2015,
45,0,East Lyme,24.03,2013,2015,
46,0,Easton,29.9,2013,2015,
47,0,East Windsor,29.78,2013,2015,
48,0,Ellington,28.7,2013,2015,
49,0,Enfield,29.13,2013,2015,
49,1,Enfield Fire District #1,3.25,2013,2015,
49,2,Enfield Thompsonville FD #2,7.25,2013,2015,
49,3,"Enfield, Hazardville Fire Dist.#3",2.4,2013,2015,
49,4,"Enfield, No. Thompsonville Fire Dist. #4",3.15,2013,2015,
49,5,Enfield Shaker Pines Fire Dist #5,2.3,2013,2015,
50,0,Essex,20.99,2013,2015,
51,0,Fairfield,24.4,2013,2015,
52,0,Farmington,24.44,2013,2015,
53,0,Franklin,24.72,2013,2015,
54,0,Glastonbury,35.65,2013,2015,
55,0,Goshen,19.2,2013,2015,
55,0,Goshen - Woodridge Lake Sewer District,4.3,2013,2015,
56,0,Granby,35.52,2013,2015,
57,0,Greenwich,10.969,2013,2015,
57,1,Greenwich - Sewer District,0.655,2013,2015,
58,0,Griswold,26.08,2013,2015,
59,0,Groton,20.13,2013,2015,
59,1,Groton Sewer District,0.25,2013,2015,
59,2,"Groton, City of Groton",4.822,2013,2015,
59,3,"Groton, Poquonock Bridge Fire",5.9,2013,2015,
59,4,"Groton, Mystic Fire",2.31,2013,2015,
59,5,"Groton, Noank Fire",1.39,2013,2015,
59,6,"Groton, Old Mystic Fire",2.8,2013,2015,
59,8,Groton - Center Fire,3.5,2013,2015,
59,9,"Groton, W. Pleasant Valley Fire",3.4,2013,2015,
59,10,"Groton, Mumford Cove",0.305,2013,2015,
59,13,"Groton, Long Point Assoc.",2.795,2013,2015,
60,0,Guilford,27.42,2013,2015,
61,0,Haddam,30.39,2013,2015,
62,0,Hamden,39.93,2013,2015,
63,0,Hampton,29.73,2013,2015,
64,0,Hartford,74.29,2013,2015,
65,0,Hartland,24.5,2013,2015,
66,0,Harwinton,26.9,2013,2015,
67,0,Hebron,35.75,2013,2015,
68,0,Kent,17.03,2013,2015,
69,0,Killingly,26.51,2013,2015,
69,1,Killingly Attawaugan FD,3.1,2013,2015,
69,2,Killingly Dayville FD,2,2013,2015,
69,3,Killingly Dyer Manor,0.5,2013,2015,
69,4,Killingly E. Killiingly FD,2.104,2013,2015,
69,5,Killingly So. Killingly FD,1.4,2013,2015,
69,6,Killingly District 5 Orient Heights,0.7,2013,2015,
69,7,Killingly Williamsville FD,2.45,2013,2015,
70,0,Killingworth,24.53,2013,2015,
71,0,Lebanon,28.2,2013,2015,
72,0,Ledyard,29.9,2013,2015,
73,0,Lisbon,19.5,2013,2015,
74,0,Litchfield,25.2,2013,2015,
75,0,Lyme,17,2013,2015,
76,0,Madison,25.17,2013,2015,
77,3,Manchester 8th Buckland Section Fire,2,2013,2015,
77,1,Manchester - Special,44.44,2013,2015,
77,2,Manchester 8th Fire + Sewer,4,2013,2015,
77,4,Manchester Eighth District Base,34,2013,2015,
77,0,Manchester (Town),38.65,2013,2015,
78,0,Mansfield,27.95,2013,2015,
79,0,Marlborough,31.45,2013,2015,
80,1,Meriden Second,2.09,2013,2015,
80,0,Meriden,35.74,2013,2015,
81,0,Middlebury,29.34,2013,2015,
82,0,Middlefield,33.92,2013,2015,
83,2,"Middletown, South Fire",4.331,2013,2015,
83,3,"Middletown, Westfield Fire",1.326,2013,2015,
83,4,"Middletown, City Fire",7.3,2013,2015,
83,0,Middletown,32.7,2013,2015,
84,0,Milford,27.22,2013,2015,
85,0,Monroe,31.01,2013,2015,
86,0,Montville,29.37,2013,2015,
87,0,Morris,22.38,2013,2015,
87,,Morris - Deer Island Assoc.,2.77,2013,2015,
88,0,Naugatuck,,2013,2015,
89,0,New Britain,49,2013,2015,
89,1,New Britain - Downtown,,2013,2015,
90,0,New Canaan,15.542,2013,2015,
90,1,New Canaan Sewer,0.561,2013,2015,
91,0,New Fairfield,26.08,2013,2015,
92,0,New Hartford,27.68,2013,2015,
92,1,New Hartford Village FD #1,1,2013,2015,
92,3,New Hartford Pine Meadow #3,2,2013,2015,
92,4,New Hartford South End FD #4,0.6,2013,2015,
93,0,New Haven,41.55,2013,2015,
93,1,New Haven+Town Green (FKA Downtown) ,1.99,2013,2015,
93,2,New Haven + Chapel West,2.5,2013,2015,
93,3,New Haven + Whalley Ave. WASF,,2013,2015,
93,4,New Haven + Whalley Ave. WASS,1.799,2013,2015,
93,5,New Haven + Grand Ave GAVA,1.25,2013,2015,
94,0,Newington,34.77,2013,2015,
95,0,New London,38,2013,2015,
95,1,New London - City Center District ,1.46,2013,2015,
96,0,New Milford,26.3,2013,2015,
96,1,New Milford Fire Association,,2013,2015,
97,0,Newtown,33.31,2013,2015,
98,0,Norfolk,22.41,2013,2015,
99,0,North Branford,29.92,2013,2015,
100,0,North Canaan,27.5,2013,2015,
100,2,North Canaan Fire District,2.1,2013,2015,
101,0,North Haven,28.1,2013,2015,
102,0,North Stonington,25.85,2013,2015,
103,1,Norwalk 1st  - Downtown,25.041,2013,2015,
103,2,Norwalk 2nd  - South,25.041,2013,2015,
103,3,Norwalk 3rd  - East,25.041,2013,2015,
103,4,Norwalk 4th  - Sewered Main Area,25.1,2013,2015,
103,5,Norwalk 5th - No Garbage Main Area,24.328,2013,2015,
103,6,Norwalk 6th - Rowayton,22.425,2013,2015,
103,10,Norwalk Motor Vehicle Rate,28.241,2013,2015,
103,1,Norwalk 1st No Garbage,24.269,2013,2015,
103,2,Norwalk 2nd No Garbage,24.269,2013,2015,
103,3,Norwalk 3rd No Garbage,24.269,2013,2015,
103,4,Norwalk 4th No Garbage,24.328,2013,2015,
104,0,Norwich City (Vol Fire)(Town)(TCD),39.04,2013,2015,
104,1,"Norwich, City of  (Paid Fire) (CCD)",45.93,2013,2015,
104,2,Norwich ,38.55,2013,2015,
105,0,Old Lyme,19.66,2013,2015,
106,0,Old Saybrook,18.5,2013,2015,
107,0,Orange,30.8,2013,2015,
108,0,Oxford,24.87,2013,2015,
109,0,Plainfield,28.36,2013,2015,
109,1,Plainfield FD # 255,1.45,2013,2015,
109,2,Plainfield Moosup FD,1.8,2013,2015,
109,3,Plainfield Central Village F.D.,2.875,2013,2015,
109,4,Plainfield Wauregan F.D.,2.3,2013,2015,
110,0,Plainville,31.38,2013,2015,
111,0,Plymouth,34.85,2013,2015,
112,0,Pomfret,24.13,2013,2015,
112,2,Pomfret Fire District,1,2013,2015,
113,0,Portland,31.78,2013,2015,
114,0,Preston,23.14,2013,2015,
115,0,Prospect,28.98,2013,2015,
116,0,Putnam,15.07,2013,2015,
116,1,Putnam - Special Service District,8.4,2013,2015,
116,2,Putnam West Putnam District,1,2013,2015,
116,3,Putnam East Putnam District,1.5,2013,2015,
117,0,Redding,28.91,2013,2015,
117,1,Redding Fire District One,0.76983,2013,2015,
117,2,Redding Fire District Two,0.9063,2013,2015,
117,,Redding Georgetown FD,1.2806,2013,2015,
118,0,Ridgefield,26.01,2013,2015,
119,0,Rocky Hill,29.7,2013,2015,
120,0,Roxbury,13.4,2013,2015,
121,0,Salem,31.1,2013,2015,
122,0,Salisbury,10.5,2013,2015,
123,0,Scotland,35,2013,2015,
124,0,Seymour,34.04,2013,2015,
125,0,Sharon,13.25,2013,2015,
126,0,Shelton,22.31,2013,2015,
127,0,Sherman,19.84,2013,2015,
128,0,Simsbury,37.14,2013,2015,
128,1,Simsbury - Fire District,1.19,2013,2015,
129,0,Somers,23.37,2013,2015,
130,0,Southbury,27.6,2013,2015,
131,0,Southington,28.36,2013,2015,
132,0,South Windsor,35.51,2013,2015,
133,0,Sprague,31,2013,2015,
134,0,Stafford,33.03,2013,2015,
134,1,"Stafford, Special Service District",2.22,2013,2015,
135,0,Stamford Motor Vehicles,27.25,2013,2015,
135,1,"Stamford ""A""",24.79,2013,2015,
135,2,"Stamford ""B""",24.24,2013,2015,
135,3,"Stamford ""C""",23.31,2013,2015,
135,4,"Stamford ""CS""",23.79,2013,2015,
135,5,Stamford Pprop Other than MV,24.79,2013,2015,
136,0,Sterling,31.5,2013,2015,
136,1,"Sterling, Fire District",1.7,2013,2015,
137,0,Stonington,20.43,2013,2015,
137,1,Stonington Mystic FD #239,1.82,2013,2015,
137,2,Stonington Pawcatuck FD #264,1.56,2013,2015,
137,3,Stonington Quiambaug FD #378,0.8,2013,2015,
137,4,Stonington FD #265,0.7,2013,2015,
137,5,Stonington Wequetequock FD #379,,2013,2015,
137,6,Stonington Old Mystic FD #366,2.8,2013,2015,
137,7,Stonington Lords Point Assoc.,1.993,2013,2015,
137,8,Stonington Mason's Island,,2013,2015,
137,9,Stonington Wamphassuk Point Assoc.,0.417,2013,2015,
137,10,Stonington Latimer Point,,2013,2015,
138,0,Stratford,35.63,2013,2015,
139,0,Suffield,27.12,2013,2015,
140,0,Thomaston,33.63,2013,2015,
141,0,Thompson,22.87,2013,2015,
142,0,Tolland,31.05,2013,2015,
143,0,Torrington,,2013,2015,
144,0,Trumbull,32.161,2013,2015,
144,1,Trumbull Long Hill FD,0.6,2013,2015,
144,2,Trumbull Center FD,,2013,2015,
144,3,Trumbull Nichols FD,,2013,2015,
145,0,Union,29,2013,2015,
146,0,Vernon,36.11,2013,2015,
147,0,Voluntown,24.25,2013,2015,
148,0,Wallingford,26.89,2013,2015,
149,0,Warren,14.2,2013,2015,
150,0,Washington,13.5,2013,2015,
151,0,Waterbury,58.22,2013,2015,
152,0,Waterford,24.8,2013,2015,
153,0,Watertown,,2013,2015,
154,0,Westbrook,21.79,2013,2015,
155,0,West Hartford,37.37,2013,2015,
156,0,West Haven,31.25,2013,2015,
156,1,"West Haven, First Center",8.85,2013,2015,
156,0,"West Haven, West Shore (2d)",8.63,2013,2015,
156,0,"West Haven, Allingtown (Third)",8.63,2013,2015,
157,0,Weston,28.24,2013,2015,
157,,Weston - Georgetown FD,1.1191,2013,2015,
158,0,Westport,17.94,2013,2015,
159,0,Wethersfield,36.74,2013,2015,
160,0,Willington,27.34,2013,2015,
161,0,Wilton,26.5132,2013,2015,
161,,Wilton - Georgetown FD,1.3135,2013,2015,
162,0,Winchester,31.91,2013,2015,
163,0,Windham,,2013,2015,
163,1,"Windham, Special Service Dist. #2",,2013,2015,
163,2,Windham 1st Taxing District,,2013,2015,
164,0,Windsor,30.47,2013,2015,
164,1,"Windsor, Wilson Fire District",2.8,2013,2015,
164,2,"Windsor, Windsor Fire District",1.5,2013,2015,
165,0,Windsor Locks,26.23,2013,2015,
166,0,Wolcott,27.17,2013,2015,
167,0,Woodbridge,34.97,2013,2015,
168,0,Woodbury,25.69,2013,2015,
169,0,Woodstock,23.1,2013,2015,
601,0,Borough of Bantam (Litchfield),1.5,2013,2015,
603,0,Borough of Danielson,4.35,2013,2015,
604,0,Borough of Fenwick (Old Saybrook),3.04,2013,2015,
606,0,Borough of Jewett City (Griswold),3.9,2013,2015,
607,0,Borough of Litchfield,1.33,2013,2015,
608,0,Borough of Newtown,0.87,2013,2015,
610,0,Borough of Stonington #372,2.5,2013,2015,
611,0,Borough of Woodmont (Milford),,2013,2015,
