Town Code,Service District Code,Municipality,Millrate,Grand List Year,Fiscal Year,
1,0,Andover,30.72,2013,2015,
2,0,Ansonia,38.61,2013,2015,
3,0,Ashford,32.16,2013,2015,
4,0,Avon,28.32,2013,2015,
5,0,Barkhamsted,27.37,2013,2015,
5,1,Barkhamsted Fire District,1.63,2013,2015,
6,0,Beacon Falls,32.5,2013,2015,
7,0,Berlin,28.92,2013,2015,
7,1,Berlin - Kensington FD,1.1,2013,2015,
7,2,Berlin -Worthington FD,2,2013,2015,
8,0,Bethany,33.9,2013,2015,
9,0,Bethel,32.11,2013,2015,
10,0,Bethlehem,22.47,2013,2015,
11,0,Bloomfield,34.84,2013,2015,
11,1,"Bloomfield, Center FD",0.9,2013,2015,
11,2,"Bloomfield, Blue Hills FD",2.5,2013,2015,
12,0,Bolton,35.34,2013,2015,
13,0,Bozrah,26.75,2013,2015,
14,0,Branford,26.24,2013,2015,
15,0,Bridgeport,42.198,2013,2015,
16,0,Bridgewater,17.25,2013,2015,
17,0,Bristol,34.61,2013,2015,
18,0,Brookfield,25.7,2013,2015,
19,0,Brooklyn,23.43,2013,2015,
20,0,Burlington,29.85,2013,2015,
21,0,Canaan,22.75,2013,2015,
22,0,Canterbury,21.5,2013,2015,
23,0,Canton,28.56,2013,2015,
24,0,Chaplin,35.05,2013,2015,
25,0,Cheshire,30.25,2013,2015,
26,0,Chester,24.82,2013,2015,
27,0,Clinton,26.27,2013,2015,
28,0,Colchester,30.57,2013,2015,
29,0,Colebrook,27.8,2013,2015,
30,0,Columbia,27.13,2013,2015,
31,0,Cornwall,14.9,2013,2015,
32,0,Coventry,28.47,2013,2015,
33,0,Cromwell,31.18,2013,2015,
33,1,Cromwell Fire District,2.1,2013,2015,
34,0,Danbury,27.6,2013,2015,
35,0,Darien,15.01,2013,2015,
36,0,Deep River,25.88,2013,2015,
37,0,Derby,35.74,2013,2015,
38,0,Durham,33.22,2013,2015,
39,0,Eastford,24.8,2013,2015,
40,0,East Granby,29.8,2013,2015,
